epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,4034.64,1.68004,1.17514,1.58094,0.85963,1,0.995,0.5563,1.19616,1.2513,1.23547,0.000656,0.000656,0.000656
98,4076.29,1.66569,1.15276,1.6412,0.88586,0.98882,0.995,0.53011,1.15357,1.20787,1.24265,0.000649813,0.000649813,0.000649813
99,4117.64,1.66125,1.13136,1.66584,0.89813,1,0.995,0.54429,1.1981,1.15011,1.3265,0.000643625,0.000643625,0.000643625
100,4158.69,1.65982,1.17826,1.64737,0.88944,0.97579,0.995,0.53748,1.28583,1.20832,1.37804,0.000637437,0.000637437,0.000637437
101,4200.15,1.60179,1.15264,1.66041,0.90973,0.91104,0.995,0.60512,1.29448,1.22243,1.33424,0.00063125,0.00063125,0.00063125
102,4241.59,1.66488,1.10878,1.6474,0.9247,0.90734,0.995,0.56569,1.27492,1.22661,1.3452,0.000625062,0.000625062,0.000625062
103,4283.48,1.62288,1.12256,1.60964,0.91716,0.90968,0.995,0.58134,1.27844,1.18163,1.36411,0.000618875,0.000618875,0.000618875
104,4324.84,1.58852,1.07378,1.56625,0.92709,0.89742,0.995,0.58927,1.30245,1.1257,1.35439,0.000612687,0.000612687,0.000612687
105,4366.15,1.59736,1.09098,1.68722,0.92913,0.89518,0.995,0.48994,1.32875,1.12262,1.34398,0.0006065,0.0006065,0.0006065
106,4407.17,1.67221,1.19847,1.70414,0.93022,0.91141,0.995,0.50301,1.28438,1.09263,1.31284,0.000600313,0.000600313,0.000600313
107,4448.38,1.64848,1.15544,1.58046,0.91498,0.98088,0.995,0.52376,1.26889,1.07534,1.28803,0.000594125,0.000594125,0.000594125
108,4489.63,1.62993,1.18352,1.70231,0.92216,1,0.995,0.52801,1.26728,1.08095,1.28205,0.000587938,0.000587938,0.000587938
109,4530.73,1.64644,1.14391,1.63803,0.88666,1,0.995,0.54882,1.31456,1.07512,1.31603,0.00058175,0.00058175,0.00058175
110,4571.51,1.62465,1.16873,1.6172,0.88223,1,0.995,0.56388,1.34899,1.07345,1.34112,0.000575563,0.000575563,0.000575563
